Timestamp,HeartRate_BPM
1747119009.427346,30.0
1747119010.4381957,30.0
1747119011.4439294,30.0
1747119012.4478748,35.0
1747119013.4577014,52.0
1747119014.467982,73.0
1747119015.478368,78.0
1747119016.4884992,78.0
1747119017.4983299,83.0
1747119018.5082755,83.0
1747119019.5184789,80.0
1747119020.528564,83.0
1747119021.5382562,79.0
1747119022.5485404,82.0
1747119023.5582292,82.0
1747119024.5687344,81.0
1747119025.5789096,82.0
1747119026.5888135,82.0
1747119027.598665,82.0
1747119028.6088717,83.0
1747119029.6189704,83.0
1747119030.628758,79.0
1747119031.6391606,81.0
1747119032.6490977,78.0
1747119033.659728,81.0
1747119034.6692302,79.0
1747119035.6803381,83.0
1747119036.6898942,83.0
1747119037.700448,82.0
1747119038.7099812,82.0
1747119039.7204504,78.0
1747119040.7305775,81.0
1747119041.7403438,76.0
1747119042.7505617,82.0
1747119043.7611048,78.0
1747119044.7704437,84.0
1747119045.7808695,79.0
1747119046.7907233,81.0
1747119047.8011508,80.0
1747119048.8122187,77.0
1747119049.8219323,82.0
1747119050.8315375,79.0
1747119051.841776,81.0
1747119052.8519368,80.0
1747119053.8620353,78.0
1747119054.8724952,78.0
1747119055.8819895,79.0
1747119056.8925238,81.0
1747119057.9024122,82.0
1747119058.9132915,82.0
1747119059.9230204,81.0
1747119060.9333496,81.0
1747119061.9432483,82.0
1747119062.9539814,83.0
1747119063.9638379,80.0
1747119064.9744298,83.0
1747119065.9841683,85.0
1747119066.9945333,81.0
1747119068.0049102,82.0
1747119069.0151193,82.0
1747119070.02525,83.0
1747119071.0352507,79.0
1747119072.045776,83.0
1747119073.0561533,79.0
1747119074.0659142,81.0
1747119075.0758963,83.0
1747119076.0857828,81.0
1747119077.095586,85.0
1747119078.105878,83.0
1747119079.1156473,85.0
1747119080.1253939,85.0
1747119081.1328332,74.0
